title,publishedDate,dislikeCount,commentCount,viewCount,likeCount
Antidote ,5/30/2016,38559,38842,133976710,797263
Spirit ,5/30/2016,46116,252250,390049549,1907897
(불타오르네) ,5/30/2016,12401,98847,25362713,579126
Entertainment!!! ,5/30/2016,11753,1230,30789475,22100
One ,5/30/2016,24115,52632,16606605,126532
MINUTES ,5/30/2016,2169,11188,8563221,46125
Rihanna ,5/30/2016,123561,539299,1083011363,3419441
IDOL ,5/30/2016,3633,13885,21278712,158702
Videos ,5/30/2016,422,558,683819,3044
Movement) ,5/30/2016,5870,9035,21540590,290436
Blood ,5/30/2016,4725,2481,3896945,36908
2013,5/30/2016,2358,7791,30187836,144371
(HBO) ,5/30/2016,2399,9832,6116349,76428
Time ,5/30/2016,18164,11191,95001797,522232
Count ,5/30/2016,5476,8374,18532744,145482
Battle ,5/30/2016,6116,13918,31958671,223045
Aterradores ,5/30/2016,4084,13713,4043945,86426
(Explicit) ,5/30/2016,12158,10243,47455470,367460
Bieber ,5/30/2016,98566,148075,197273923,1061439
Like ,5/30/2016,2794,4528,38738062,113230
Cámara ,5/30/2016,7198,10930,5513629,108645
Girl! ,5/30/2016,4221,19042,9216387,268553
Karaoke ,5/30/2016,3209,26094,13321625,373665
FailArmy ,5/30/2016,2052,5054,4592827,62975
Girl ,5/30/2016,191126,209227,260571100,827885
Papaoutai ,5/30/2016,75371,103221,352612161,1360174
Video ,5/30/2016,18,24,129990,356
2016,5/30/2016,1675,5120,4096455,68661
FRANCISCO ,5/30/2016,14215,44593,84900160,473399
,5/30/2016,451,2413,3815531,15349
Bang ,5/30/2016,173,1475,1786364,22242
06.09.16 ,5/30/2016,364,1741,2455132,7660
2016,5/30/2016,7080,9987,15233238,216613
GURU! ,5/30/2016,31,279,22644,1163
SNL ,5/30/2016,6253,14736,7659184,86398
guide ,5/30/2016,30,309,217794,1524
ToysReview ,5/30/2016,868,139,2809524,1819
Ronaldo ,5/30/2016,9934,150967,23100822,256621
Login ,5/30/2016,162,28,565078,484
(HBO) ,5/30/2016,1409,6897,11338564,131057
timelapse ,5/30/2016,1154,9723,10800370,125307
Softball ,5/30/2016,3369,21035,12655604,177215
Video ,5/30/2016,2506,2393,3248748,24811
1080P ,5/30/2016,754,2203,3721021,14809
"Us?"" ",5/30/2016,345,3975,1246298,23875
1,5/30/2016,54,28,83060,131
Video ,5/30/2016,1362,15574,2896170,2339
Perfect ,5/30/2016,1749,16570,8191329,145990
McCarthy ,5/30/2016,3505,7242,16590472,180384
4K ,5/30/2016,216,2057,2724471,32338
60,5/30/2016,783,3280,3317746,64929
[HD] ,5/30/2016,10992,15252,69488810,463400
Species? ,5/30/2016,2946,11833,32467855,232800
Ralph ,5/30/2016,2250,10489,3349089,53864
Video] ,5/30/2016,4939,4500,36471905,199959
Bieber ,5/30/2016,74069,151017,180932455,1167945
